year,month,total_trips,avg_trip_distance,fare_amount_sum,extra_sum,tip_amount_sum
2015,01,2720786,,0,0,0
2015,02,3053183,,0,0,0
2015,03,3245472,,0,0,0
2015,04,3874538,,0,0,0
2015,05,4232122,,0,0,0
2015,06,4240561,,0,0,0
2015,07,4384986,,0,0,0
2015,08,5261388,,0,0,0
2015,09,6582838,,0,0,0
2015,10,8585373,,0,0,0
2015,11,8318476,,0,0,0
2015,12,8888809,,0,0,0
2016,01,8510803,,0,0,0
2016,02,9427825,,0,0,0
2016,03,9613395,,0,0,0
2016,04,10138188,,0,0,0
2016,05,10739532,,0,0,0
2016,06,10768623,,0,0,0
2016,07,10977358,,0,0,0
2016,08,11224963,,0,0,0
2016,09,11759658,,0,0,0
2016,10,12657985,,0,0,0
2016,11,12436993,,0,0,0
2016,12,13858760,,0,0,0
2017,01,13657539,,0,0,0
2017,02,13284960,,0,0,0
2017,03,15703098,,0,0,0
2017,04,14764943,,0,0,0
2017,05,15397393,,0,0,0
2017,06,15365121,,0,0,0
2017,07,15672674,,0,0,0
2017,08,15906264,,0,0,0
2017,09,16621486,,0,0,0
2017,10,17893057,,0,0,0
2017,11,18053806,,0,0,0
2017,12,19989217,,0,0,0
2018,01,19808094,,0,0,0
2018,02,19350693,,0,0,0
2018,03,21985270,,0,0,0
2018,04,21049621,,0,0,0
2018,05,21565752,,0,0,0
2018,06,21137951,,0,0,0
2018,07,21599714,,0,0,0
2018,08,22120593,,0,0,0
2018,09,22151736,,0,0,0
2018,10,23289768,,0,0,0
2018,11,22911479,,0,0,0
2018,12,23904082,,0,0,0
2019,01,23159064,,0,0,0
2019,02,1707650,,0,0,0
2019,03,1475569,,0,0,0
2019,04,1937850,,0,0,0
2019,05,2073045,,0,0,0
2019,06,2009888,,0,0,0
2019,07,1947743,,0,0,0
2019,08,1880408,,0,0,0
2019,09,1248520,,0,0,0
2019,10,1897856,,0,0,0
2019,11,1879487,,0,0,0
2019,12,2044196,,0,0,0
2020,01,2028587,,0,0,0
2020,02,1913495,,0,0,0
2020,03,1441864,,0,0,0
2020,04,566426,,0,0,0
2020,05,774970,,0,0,0
2020,06,1011867,,0,0,0
2020,07,1127489,,0,0,0
2020,08,1184036,,0,0,0
2020,09,1271036,,0,0,0
2020,10,1254734,,0,0,0
2020,11,1206356,,0,0,0
2020,12,1164605,,0,0,0
2021,01,1154112,,0,0,0
2021,02,1037692,,0,0,0
2021,03,1302665,,0,0,0
2021,04,1267018,,0,0,0
2021,05,1263660,,0,0,0
2021,06,1311346,,0,0,0
2021,07,1240014,,0,0,0
2021,08,1203018,,0,0,0
2021,09,1179412,,0,0,0
2021,10,1277393,,0,0,0
2021,11,1228962,,0,0,0
2021,12,1339973,,0,0,0
2022,01,1143691,,0,0,0
2022,02,1251504,,0,0,0
2022,03,1380816,,0,0,0
2022,04,1246669,,0,0,0
2022,05,1255828,,0,0,0
2022,06,1195414,,0,0,0
2022,07,1159579,,0,0,0
2022,08,1151155,,0,0,0
2022,09,1160493,,0,0,0
2022,10,1174988,,0,0,0
2022,11,1106084,,0,0,0
2022,12,1285443,,0,0,0
2023,01,1114320,,0,0,0
2023,02,1110797,,0,0,0
2023,03,1328242,,0,0,0
2023,04,1246479,,0,0,0
2023,05,1385826,,0,0,0
2023,06,1219445,,0,0,0
2023,07,1370843,,0,0,0
2023,08,1440352,,0,0,0
2023,09,1293303,,0,0,0
2023,10,1628438,,0,0,0
2023,11,1343846,,0,0,0
2023,12,1376748,,0,0,0
